scan,date,time,raw,calibrated
184,24/11/2022 , 20:40:00,0,0
185,24/11/2022 , 20:50:00,0,0
186,24/11/2022 , 21:00:00,0,0
187,24/11/2022 , 21:10:00,0,0
188,24/11/2022 , 21:20:00,0,0
189,24/11/2022 , 21:30:00,0,0
190,24/11/2022 , 21:40:00,0,0
191,24/11/2022 , 21:50:00,0,0
192,24/11/2022 , 22:00:00,0,0
193,24/11/2022 , 22:10:00,0,0
194,24/11/2022 , 22:20:00,0,0
195,24/11/2022 , 22:30:00,0,0
196,24/11/2022 , 22:40:00,0,0
197,24/11/2022 , 22:50:00,0,0
198,24/11/2022 , 23:00:00,0,0
199,24/11/2022 , 23:10:00,0,0
200,24/11/2022 , 23:20:00,0,0
201,24/11/2022 , 23:30:00,0,0
202,24/11/2022 , 23:40:00,0,0
203,24/11/2022 , 23:50:00,0,0
204,24/11/2022 , 24:00:00,0,0
205,25/11/2022 , 00:10:00,0,0
206,25/11/2022 , 00:20:00,0,0
207,25/11/2022 , 00:30:00,0,0
208,25/11/2022 , 00:40:00,0,0
209,25/11/2022 , 00:50:00,0,0
210,25/11/2022 , 01:00:00,0,0
211,25/11/2022 , 01:10:00,0,0
212,25/11/2022 , 01:20:00,0,0
213,25/11/2022 , 01:30:00,0,0
214,25/11/2022 , 01:40:00,0,0
215,25/11/2022 , 01:50:00,0,0
216,25/11/2022 , 02:00:00,0,0
217,25/11/2022 , 02:10:00,0,0
218,25/11/2022 , 02:20:00,0,0
219,25/11/2022 , 02:30:00,0,0
220,25/11/2022 , 02:40:00,0,0
221,25/11/2022 , 02:50:00,0,0
222,25/11/2022 , 03:00:00,0,0
223,25/11/2022 , 03:10:00,0,0
224,25/11/2022 , 03:20:00,0,0
225,25/11/2022 , 03:30:00,0,0
226,25/11/2022 , 03:40:00,0,0
227,25/11/2022 , 03:50:00,0,0
228,25/11/2022 , 04:00:00,0,0
229,25/11/2022 , 04:10:00,0,0
230,25/11/2022 , 04:20:00,0,0
231,25/11/2022 , 04:30:00,0,0
232,25/11/2022 , 04:40:00,0,0
233,25/11/2022 , 04:50:00,0,0
234,25/11/2022 , 05:00:00,0,0
235,25/11/2022 , 05:10:00,0,0
236,25/11/2022 , 05:20:00,0,0
237,25/11/2022 , 05:30:00,0,0
238,25/11/2022 , 05:40:00,0,0
239,25/11/2022 , 05:50:00,0,0
240,25/11/2022 , 06:00:00,0,0
241,25/11/2022 , 06:10:00,0,0
242,25/11/2022 , 06:20:00,0,0
243,25/11/2022 , 06:30:00,0,0
244,25/11/2022 , 06:40:00,2,0.1
245,25/11/2022 , 06:50:00,25,1.6
246,25/11/2022 , 07:00:00,110,7.1
247,25/11/2022 , 07:10:00,265,17.2
248,25/11/2022 , 07:20:00,394,25.5
249,25/11/2022 , 07:30:00,552,35.8
250,25/11/2022 , 07:40:00,767,49.7
251,25/11/2022 , 07:50:00,1084,70.3
252,25/11/2022 , 08:00:00,949,61.5
253,25/11/2022 , 08:10:00,2051,132.9
254,25/11/2022 , 08:20:00,2642,171.3
255,25/11/2022 , 08:30:00,3486,226
256,25/11/2022 , 08:40:00,1713,111
257,25/11/2022 , 08:50:00,3314,214.8
