Chunk,Model,Model type,Surface Area (cm^2),Area (cm^2),Surface Area (m^2) by color category: 0,Surface Area (m^2) by color category: 1,Surface Area (m^2) by color category: 2,Surface Area (m^2) by color category: 3,Surface Area (m^2) by color category: 4,Surface Area (m^2) by color category: 5,Surface Area (m^2) by color category: 6,Surface Area (m^2) by color category: 7,Surface Area (m^2) by color category: 8,Surface Area (m^2) by color category: 9,Surface Area (m^2) by color category: 10,Surface Area (m^2) by color category: 11,Surface Area (m^2) by color category: 12,Surface Area (m^2) by color category: 13,Surface Area (m^2) by color category: 14,Surface Area (m^2) by color category: 15,Surface Area (m^2) by color category: 16,Surface Area (m^2) by color category: 17,Surface Area (m^2) by color category: 18,Surface Area (m^2) by color category: 19,Surface Area (m^2) by color category: 20,Surface Area (m^2) by color category: 21,Surface Area (m^2) by color category: 22,Surface Area (m^2) by color category: 23,Surface Area (m^2) by color category: 24,Surface Area (m^2) by color category: 25,Surface Area (m^2) by color category: 26,Surface Area (m^2) by color category: 27,Surface Area (m^2) by color category: 28,Surface Area (m^2) by color category: 29,Surface Area (m^2) by color category: 30,Surface Area (m^2) by color category: 31,Surface Area (m^2) by color category: 32,Surface Area (m^2) by color category: 33,Surface Area (m^2) by color category: 34,Surface Area (m^2) by color category: 35,Max height (cm),Min height (cm),Height range (cm),Volume (cm^3),Extent Volume (cm^3)
911C,911C,Mesh,49.92648647,11.17398999,8.73E-08,5.75E-06,0,0.000108786,0.000113399,4.91E-05,0.00023656,0.000201551,2.45E-06,0,4.05E-05,0,0,8.30E-07,0,0.000545814,0.001114766,0.000121896,3.70E-07,0.000187513,7.07E-05,2.63E-05,0.000365654,2.52E-05,0.000743736,0.000440174,0.000287652,1.33E-05,0.000135849,0,6.87E-05,0,1.26E-05,3.86E-05,0,3.49E-05,3.81737865,0.311404057,3.505974592,15.43901801,54.24548567
912A,912A,Mesh,41.58836084,9.677888372,0.000148865,1.83E-05,0,0.000145259,8.62E-05,5.45E-05,0.000180613,7.62E-05,4.58E-05,0,1.68E-05,0,0,1.73E-05,0,0.000266891,0.001234282,0.000174374,0,0.00012644,0.000154593,1.88E-05,0.000238458,7.97E-06,0.000371135,0.000173115,0.000278191,1.25E-07,0.00016562,2.55E-06,2.74E-05,0,3.24E-05,4.82E-05,0,4.85E-05,3.705522594,0.288484981,3.417037613,12.36391333,49.60772946
912B,912B,Mesh,31.00145235,5.636136714,7.15E-05,3.56E-05,7.66E-07,0.000275138,8.82E-05,9.35E-06,3.32E-06,1.08E-05,1.53E-07,0,3.83E-05,0,0,3.17E-06,0,0.000210745,0.000607336,0,0,0.00026191,0.000105809,1.23E-05,0.000324739,5.04E-06,0.000509913,0.000169352,1.51E-05,0,0.000263839,2.09E-06,6.50E-05,0,9.35E-06,1.20E-06,0,4.24E-08,5.087880321,0.351769123,4.736111198,9.656634521,36.50412763
912C,912C,Mesh,38.01585318,6.943489172,3.14E-05,7.67E-06,0,0.000240113,0.000283065,7.28E-05,1.46E-06,7.58E-05,7.73E-07,2.85E-08,1.14E-06,0,0,9.55E-06,0,0.000249492,0.000815789,2.81E-05,0,0.000193138,0.000111854,2.02E-05,0.000157373,0.000156296,0.000413536,0.000432784,5.68E-05,0,0.000129533,4.48E-05,0.000130377,0,0.00013297,3.31E-06,2.12E-07,1.23E-06,4.240452516,0.292395254,3.948057261,11.3004541,41.16215406
913A,913A,Mesh,30.48872001,5.954545921,9.17E-05,4.01E-07,0,0.000105238,8.79E-05,8.66E-05,3.86E-05,1.47E-05,3.26E-06,0,8.27E-06,0,0,0,0,3.59E-05,0.001084923,1.42E-05,0,0.000137028,1.02E-05,1.09E-05,0.000113716,2.57E-05,0.000393829,0.000294729,6.83E-05,4.25E-08,0.000158191,3.98E-06,0.000125156,0,4.89E-05,8.58E-05,2.08E-08,5.98E-07,4.070795186,0.320025166,3.75077002,11.61213861,28.1378549
913B,913B,Mesh,31.22516114,5.651724012,7.49E-05,3.68E-05,9.60E-07,0.000227245,0.000124133,6.59E-05,3.76E-05,9.95E-06,1.35E-05,0,4.22E-05,0,0,2.96E-06,0,0.000214695,0.00061441,0,2.02E-07,0.000117099,0.0001064,1.32E-05,0.000321872,6.00E-06,0.000504823,0.000172468,1.47E-05,8.98E-07,0.00016768,1.82E-06,0.000120563,0,4.51E-05,3.05E-05,0,3.38E-05,5.087359747,0.307382278,4.779977469,9.830312946,36.97524864
913C,913C,Mesh,29.36982957,4.736889714,0,0,0,0.000242396,9.73E-05,3.01E-05,1.44E-05,7.81E-05,0,0,0,0,0,0,0,1.21E-05,0.000333965,4.25E-07,0,0.000239284,6.89E-06,8.29E-06,2.10E-05,0.000165167,0.000268835,0.000941439,1.75E-05,0,3.57E-05,2.87E-05,0.000368529,0,4.38E-07,2.63E-05,0,0,4.097955907,0.271729449,3.826226458,8.656726001,24.23656811
914A,914A,Mesh,45.30436599,7.271588624,0,2.93E-05,0,0.00028418,7.17E-05,1.03E-05,0.000143859,4.19E-05,1.00E-06,6.73E-08,6.01E-06,0,0,1.68E-06,0,0.000261579,0.001028035,1.30E-06,2.51E-06,0.000217257,6.28E-05,5.72E-05,0.000410137,2.81E-05,0.001009556,0.000443612,5.37E-05,5.46E-06,2.69E-05,0,5.89E-05,0,7.77E-07,1.23E-05,0,0.000260578,5.025804101,0.262749363,4.763054738,15.21392009,48.64067114
914B,914B,Mesh,51.4058125,6.445424559,1.27E-07,8.91E-07,0,0.000230358,0.000233605,0.000117767,7.68E-06,3.31E-05,5.39E-07,0,5.11E-06,0,0,2.01E-06,0,0.000411119,0.001799851,1.36E-05,0,0.000394341,6.50E-05,1.22E-05,0.000307042,4.44E-05,0.000698275,0.000413606,9.17E-05,0,7.82E-05,3.03E-08,0.000116063,0,3.95E-05,2.42E-05,0,4.23E-07,6.302204964,0.326304403,5.975900561,17.90283976,49.04546158
914C,914C,Mesh,39.27724458,7.067214721,0,0,0,0.000151687,0.000115917,4.92E-05,7.62E-06,1.77E-05,6.80E-08,0,0,0,0,0,0,3.93E-05,0.000839691,0,0,0.0001278,6.74E-06,1.76E-05,7.58E-05,0.000240502,0.000815409,0.000828458,3.50E-06,0,3.12E-05,6.98E-06,0.000535641,0,1.99E-06,1.49E-05,0,0,4.479730998,0.30122178,4.178509218,15.33333759,43.44678313
