scan,date,time,raw,calibrated
263,26/01/2023 , 08:40:00,400,28
264,26/01/2023 , 08:50:00,582,40.7
265,26/01/2023 , 09:00:00,706,49.3
266,26/01/2023 , 09:10:00,742,51.9
267,26/01/2023 , 09:20:00,758,53
268,26/01/2023 , 09:30:00,768,53.7
269,26/01/2023 , 09:40:00,709,49.6
270,26/01/2023 , 09:50:00,957,66.9
271,26/01/2023 , 10:00:00,996,69.6
272,26/01/2023 , 10:10:00,1007,70.4
273,26/01/2023 , 10:20:00,1033,72.2
274,26/01/2023 , 10:30:00,927,64.8
275,26/01/2023 , 10:40:00,1244,86.9
276,26/01/2023 , 10:50:00,1422,99.4
277,26/01/2023 , 11:00:00,1452,101.5
278,26/01/2023 , 11:10:00,1748,122.2
279,26/01/2023 , 11:20:00,3130,218.8
280,26/01/2023 , 11:30:00,3960,276.8
281,26/01/2023 , 11:40:00,4308,301.1
282,26/01/2023 , 11:50:00,4326,302.3
283,26/01/2023 , 12:00:00,4379,306
284,26/01/2023 , 12:10:00,4365,305.1
285,26/01/2023 , 12:20:00,4406,307.9
286,26/01/2023 , 12:30:00,4393,307
287,26/01/2023 , 12:40:00,4430,309.6
288,26/01/2023 , 12:50:00,4523,316.1
289,26/01/2023 , 13:00:00,2873,200.8
290,26/01/2023 , 13:10:00,2177,152.1
291,26/01/2023 , 13:20:00,3571,249.6
292,26/01/2023 , 13:30:00,2005,140.1
293,26/01/2023 , 13:40:00,2050,143.3
294,26/01/2023 , 13:50:00,3410,238.3
295,26/01/2023 , 14:00:00,2228,155.7
296,26/01/2023 , 14:10:00,2387,166.8
297,26/01/2023 , 14:20:00,2477,173.1
298,26/01/2023 , 14:30:00,3252,227.3
299,26/01/2023 , 14:40:00,3175,221.9
300,26/01/2023 , 14:50:00,3568,249.4
301,26/01/2023 , 15:00:00,3347,233.9
302,26/01/2023 , 15:10:00,3006,210.1
303,26/01/2023 , 15:20:00,2275,159
304,26/01/2023 , 15:30:00,2081,145.4
305,26/01/2023 , 15:40:00,806,56.3
306,26/01/2023 , 15:50:00,577,40.3
307,26/01/2023 , 16:00:00,609,42.6
308,26/01/2023 , 16:10:00,780,54.5
309,26/01/2023 , 16:20:00,324,22.6
310,26/01/2023 , 16:30:00,259,18.1
